ar,bs-Latn,bg,ca,zh-CHS,zh-CHT,hr,cs,da,nl,en,et,fi,fr,de,el,ht,he,hi,mww,hu,id,it,ja,sw,tlh,tlh-Qaak,ko,lv,lt,ms,mt,yua,no,otq,fa,pl,pt,ro,ru,sr-Cyrl,sr-Latn,sk,sl,es,sv,th,tr,uk,ur,vi,cy
ضحلة,plitka,плитки,superficial,浅,淺,plitka,mělká,lavvandede,ondiep,shallow,pinnapealne,matala,peu profondes,flache,ρηχά,pa fon,רדוד,उथले,ntiav,sekély,dangkal,poco profonde,浅い,kina kirefu,SaS,,얕은,sekls,sekli,cetek,baxxi,Jach profundas,grunne,tx'u̲tho profundas,کم عمق,płytkie,superficial,superficial,мелкий,плитка,plitka,plytké,plitvo,poco profundas,grunt,ตื้น,sığ,дрібні,ادھورا,nông,bas
وقالت أنها,Ona,Тя,ella,她,她,Ona,Ona,hun,ze,she,ta,Hän,elle,Sie,Αυτή,li,היא,वह,nws,ő,Dia,Lei,彼女,Yeye,ghaH,,그녀,viņa,ji,dia,hi,Leti',Hun,Nunu̲,او,ona,Ela,ea,Она,Она,Ona,Ona,ona,ella,Hon,เธอ,o,вона,وہ,cô ấy,hi
السفينة,brod,кораб,vaixell,船舶,船舶,brod,loď,skib,schip,ship,laeva,aluksen,navire,Schiff,πλοίο,batiman,הספינה,जहाज,China,hajó,kapal,nave,船,meli,bIQ Duj, ,선박,kuģis,laivas,kapal,vapur,ti' le nave,skipet,ya ar nave,کشتی,statek,nave,nava,корабль,брод,brod,loď,ladja,de la nave,fartyg,เรือ,gemi,корабель,جہاز,con tàu,llong
قميص,košulja,риза,camisa,衬衫,襯衫,majica,tričko,shirt,shirt,shirt,särk,paita,chemise,Shirt,πουκάμισο,chemiz,החולצה,शर्ट,tsho,ing,kemeja,camicia,シャツ,shati,yIvbeH,,셔츠,krekls,marškinėliai,baju,qomos,camiseta,skjorte,camiseta,پیراهن,Koszula,camisa,tricou,рубашка,мајица,majica,tričko,majica,camiseta,skjorta,เสื้อเชิ้ต,gömlek,сорочка,قمیض,Áo sơ mi,crys
أحذية,cipele,обувки,sabates,鞋子,鞋子,cipele,boty,sko,schoenen,shoes,kingad,kengät,chaussures,Schuhe,παπούτσια,soulye,נעליים,जूते,nkawm khau,cipő,Sepatu,scarpe,靴,viatu,waqmey,,신발,kurpes,batai,Kasut,żraben,xanab,sko,ze̲xthi,کفش,buty,sapatos,pantofi,Обувь,ципеле,cipele,topánky,čevlji,zapatos,skor,รองเท้า,Ayakkabı,взуття,جوتے,giày dép,esgidiau
قصيرة,Kratki,кратко,curt,短,短,kratki,krátká,kort,korte,short,lühike,Lyhyt,court,kurze,σύντομη,kout,קצר,लघु,tsis ntev,rövid,pendek,breve,短い,fupi,ngaj,,짧은,īss,trumpas,pendek,qasir,corto,kort,hingi maa,کوتاه,Krótki,curta,scurt,короткие,кратка,kratka,krátke,kratek,corto,kort,สั้น,kısa,короткий,مختصر,ngắn,byr
قصيرة,Kratki,кратко,curt,短,短,kratki,krátká,kort,korte,short,lühike,Lyhyt,court,kurze,σύντομη,kout,קצר,लघु,tsis ntev,rövid,pendek,breve,短い,fupi,ngaj,,짧은,īss,trumpas,pendek,qasir,corto,kort,hingi maa,کوتاه,Krótki,curta,scurt,короткие,кратка,kratka,krátke,kratek,corto,kort,สั้น,kısa,короткий,مختصر,ngắn,byr
الكتف,rame,рамото,espatlla,肩膀,肩膀,rame,rameno,skulder,schouder,shoulder,õla,olkapää,épaule,Schulter,ώμου,Zepol,כתף,कंधे,lub xub pwg,váll,bahu,spalla,肩,bega,volchaH,,어깨,plecu,peties,bahu,spalla,keléenbal,skulder,hombro,شانه,ramię,ombro,umăr,плечо,раме,rame,rameno,ramo,hombro,Axel,ไหล่,omuz,плече,کاندھا,vai,ysgwydd
المرضى,bolesni,болни,malalt,生病,生病,bolesni,nemocný,syg,ziek,sick,haige,sairas,Sick,krank,άρρωστος,Mwen malad,חולה,बीमार,dias hau,beteg,sakit,malato,病気,wagonjwa,rop,,아픈,slimnieku,serga,sakit,morda,k'oja'an,syk,da̲thi,بیمار,chory,doente,bolnav,больной,болесни,bolesni,chorý,bolan,enfermo,sjuk,ป่วย,hasta,хворі,بیمار,bệnh hoạn,salwch
الجانب,strana,страна,costat,侧,側,strani,strana,side,kant,side,side,puolella,côté,Seite,πλευρά,bò kote,בצד,साइड,sab,oldalán,sisi,lato,側,upande,Dop,,측면,sānu,pusėje,sampingan,in-naħa,tséel,siden,ngehnu̲,سمت,po stronie,lado,partea,сторона,страни,strani,strane,strani,lado,sidan,ด้านข้าง,yan,стороні,طرف,bên,ochr
تسجيل الدخول,znak,знак,signe,标志,標誌,znak,znamení,tegn,teken,sign,märk,merkki,signe,Zeichen,σημάδι,siy,סימן,संकेत,kos npe,jel,tanda,segno,記号,ishara,qI',,로그인,zīme,ženklas,tanda,is-sinjal,signo u,tegn,ar nt'udi gi pe̲ts'i ar,ورود به سیستم,znak,sinal,semn,знак,знак,znak,znamenie,znak,signo de,tecken,ลงชื่อเข้าใช้,işareti,знак,نشانی,đăng nhập,arwydd
فضة,srebro,сребро,plata,银,銀,srebro,stříbro,sølv,zilver,silver,Silver,hopea,Silver,Silber,ασήμι,ajan,כסף,रजत,nyiaj dawb,ezüst,perak,argento,シルバー,fedha,silver,,실버,Silver,Sidabras,Perak,tal-fidda,plata,sølv,ár t'axi,نقره ای,Srebro,prata,argint,серебро,сребро,srebro,striebro,srebrna,plata,Silver,สีเงิน,Gümüş,Срібло,چاندی,bạc,arian
الغناء,pjevati,Пея,cantar,唱歌,唱歌,pjevati,zpívat,synge,zingen,sing,laulda,laulaa,chanter,singen,τραγουδούν,chante,לשיר,गाओ,hu nkauj,énekelni,bernyanyi,cantare,歌う,kuimba,bom,,노래,dziedāt,dainuoti,Sing,ikanta,k'aay,synge,cantar,بخوان,śpiewać,cantar,cântă,петь,певају,pevaju,spievať,pojejo,cantar,sjunga,สิงห์,şarkı,співати,سنگ,hát,canu
الأخت,sestra,сестра,germana,姐姐,姐姐,sestra,sestra,søster,zuster,sister,õde,sisko,soeur,Schwester,αδελφή,sè,אחותי,बहन,Leej muam,nővér,adik,sorella,妹,dada,be'nI',,자매,māsa,sesuo,kakak,oħt,kiik,søster,nju,خواهر,Siostra,irmã,sora,сестра,сестра,sestra,sestra,sestra,hermana,syster,น้องสาว,kız kardeşi,сестра,بہن,em gái,chwaer
الجلوس,sjediti,седя,seure,坐,坐,sjediti,Sit,sidde,zitten,sit,istuda,Sit,s’asseoir,sitzen,Sit,Chilta,. שב,बैठो,zaum,Sit,Duduk,sedersi,座る,kukaa,ba',,앉아,sēdēt,sėdėti,duduk,joqogħdu,kutal,sitte,ar sentar,نشستن,siedzieć,Sente-se,Stai,сидеть,Седи,Sedi,sedieť,sit,sentarse,sitta,นั่ง,Sit,сидіти,بیٹھنا,ngồi,eistedd
الجلد,koža,кожата,pell,皮肤,皮膚,kože,kůže,hud,huid,skin,naha,iho,peau,Haut,δέρμα,Po a,העור,त्वचा,tawv,bőr,kulit,pelle,肌,ngozi,DIr,,피부,āda,odos,kulit,tal-ġilda,yoot'el,huden,piel,پوست,skóry,pele,piele,кожа,кожа,koža,koža,kožo,piel,hud,ผิว,Cilt,шкіра,جلد,da,croen
تنورة,suknja,полата,faldilla,裙子,裙子,suknja,sukně,nederdel,rok,skirt,seelik,hame,jupe,Rock,φούστα,jip sky @ syèl,חצאית,स्कर्ट,tiab,szoknya,rok,gonna,スカート,skirt,paH bID, ,치마,svārki,sijonas,Skirt,falda,falda,skjørt,falda,دامن,spódnica,Saia,fusta,юбка,сукња,suknja,sukňa,krilo,falda,kjol,กระโปรง,etek,спідниця,گھیرنا,váy,sgert
السماء,nebo,небе,cel,天空,天空,nebo,obloha,Sky,hemel,sky,taevas,taivas,Sky,Himmel,ουρανός,syèl,שמיים,आकाश,ntuj,Sky,langit,cielo,空,anga,chal,,스카이,debesis,dangus,langit,ajru uniku,ka'anal,himmelen,hments'i'i,آسمان,niebo,céu,cer,небо,небо,nebo,neba,nebo,cielo,Sky,ท้องฟ้า,gökyüzü,небо,آسمان,bầu trời,Sky
النوم,sna,сън,son,睡眠,睡眠,sna,spánek,søvn,slaap,sleep,uni,Sleep,sommeil,Schlaf,ύπνου,dòmi,שינה,नींद,pw tsaug zog,alvás,tidur,sonno,睡眠,usingizi,yIQong,,수 면,miegs,miego,Tidur,tas-sospensjoni,weenel,søvn,t'i,خواب,snu,sono,somn,Сон,Спавај,Spavaj,spánok,spanja,sueño,sömn,นอนหลับ,uyku,сон,نیند,giấc ngủ,cysgu
بطيئة,sporo,бавно,lent,缓慢,緩慢,sporo,pomalu,langsom,vertragen,slow,aeglane,hidas,lente,langsam,αργή,pa rapid,. לאט,धीमी गति से,qeeb,lassú,lambat,lento,遅い,polepole,slow,,천천히,lēni,lėtai,perlahan,bil-mod,xaan,langsom,lento,آهسته,powolny,devagar,lent,медленно,Успори,Uspori,pomalé,počasi,lento,långsam,ช้า,yavaş,сповільнити,سست,chậm,yn araf
الصغيرة,mali,малки,petit,小,小,mali,malé,lille,kleine,small,väike,pieni,petit,kleine,μικρό,piti,קטן,छोटे,me me,kis,kecil,piccolo,小さな,ndogo,mach,,작은,mazs,mažas,kecil,żgħar,chichan,liten,pequeño,کوچک,małe,pequeno,mici,маленький,мали,mali,malé,mala,pequeño,små,ขนาดเล็ก,küçük,Малий,چھوٹا,nhỏ,bach
ابتسامة,osmijeh,усмивка,somriure,微笑,微笑,osmijeh,úsměv,smil,glimlach,smile,naeratus,hymy,Smile,Lächeln,χαμόγελο,ouri,חיוך,मुस्कान,luag nyav,mosoly,senyum,sorriso,笑顔,Tabasamu,mon,,미소,smaids,šypsena,tersenyum,smile,ti' le sonrisa,smil,ya ar 'rede,لبخند,uśmiech,sorriso,zâmbet,улыбка,осмех,osmeh,úsmev,nasmeh,de la sonrisa,leende,รอยยิ้ม,gülümseme,Посмішка,ہم مسکراتے ہیں,nụ cười,Cynllun Gwên
الثلج,snijeg,сняг,neu,雪,雪,snijeg,sníh,sne,sneeuw,snow,lumi,lumi,neige,Schnee,χιόνι,nèj,שלג,बर्फ,daus,hó,salju,neve,雪,theluji,peD,,눈,sniega,sniego,salji,tas-silġ,nieve,snø,ya xija,برف,śnieg,neve,zăpadă,снег,снег,sneg,sneh,sneg,nieve,snö,หิมะ,kar,сніг,برف باری,tuyết,eira
صابون,sapun,сапун,sabó,肥皂,肥皂,sapun,mýdlo,sæbe,zeep,soap,seep,saippua,savon,Seife,σαπούνι,savon,סבון,साबुन,xab npum,szappan,sabun,sapone,石鹸,sabuni,Say'moHwI' tlhagh, ,비누,ziepes,muilas,sabun,sapun,jabón,såpe,jabón,صابون,mydło,sabonete,săpun,Мыло,сапун,sapun,mydlo,milo,jabón,tvål,สบู่,sabun,мило,صابن,xà phòng,sebon
لينة,meka,меки,suau,软,軟,meka,měkké,blød,zachte,soft,pehme,pehmeä,mous,weiche,μαλακό,Mou,רך,नरम,mos,puha,lembut,morbido,ソフト,laini,tun,,소프트,mīksts,minkštas,lembut,artab,O'olkij,myk,za̲tho,نرم,miękkie,suave,moale,мягкий,мекана,mekana,mäkké,mehko,suave,mjuk,นุ่มนวล,yumuşak,м'які,نرم,mềm mại,meddal
التربة,tla,почвата,sòl,土壤,土壤,tla,půda,jord,bodem,soil,mulla,maaperän,sol,Boden,χώμα,tòchonnen,אדמת,मिट्टी,av,talaj,Tanah,terreno,土壌,udongo,soil,,토양,augsne,dirvožemio,Tanah,tal-ħamrija,lu'um,jord,ha̲i,خاک,gleby,solo,solului,почвы,тло,tlo,pôdy,tal,suelo,Mark,ดิน,toprak,ґрунт,مٹی,đất,pridd
جندي,vojnik,войник,soldat,士兵,士兵,vojnik,voják,soldat,soldaat,soldier,sõdur,sotilas,soldat,Soldat,στρατιώτης,sòlda,חייל,सैनिक,peeb zeej,katona,prajurit,soldato,兵士,askari,mang,,군인,kareivis,karys,askar,soldier,soldado,soldat,soldado,سرباز,żołnierz,soldado,soldat,солдат,војник,vojnik,vojak,vojak,soldado,soldat,ทหาร,asker,солдат,سپاہی,người lính,milwr
ابن,sin,син,fill,儿子,兒子,sin,syn,søn,zoon,son,poeg,poika,fils,Sohn,γιος,pitit,הבן,बेटा,tus tub,fia,anak,figlio,息子,Mwana,puqloD,,아들,dēls,sūnus,anak,iben,paal,sønn,Ar bätsi,پسر,Syn,filho,fiul,сын,син,sin,syn,sin,hijo,son,ลูกชาย,oğlu,син,بیٹا,con trai,mab
أغنية,pjesma,песен,cançó,首歌,首歌,pjesma,píseň,sang,lied,song,laul,laulu,chanson,Lied,τραγούδι,chante pou yo chante,השיר,गीत,zaj kwv txhiaj,dal,lagu,canzone,歌,wimbo,bom,,노래,dziesma,Daina,lagu,kanzunetta,k'aayo',sangen,canción,آهنگ,piosenka,canção,cântec,Песня,песма,pesma,pieseň,pesem,canción,Låt,เพลง,şarkı,пісня,گیت,bài hát,cân
الصوت,zvuk,звук,so,声音,聲音,zvuk,zvuk,lyd,geluid,sound,heli,ääni,son,Klang,ήχος,bri,צליל,ध्वनि,suab,hang,Suara,suono,音,sauti,wab,,사운드,skaņu,garsas,Bunyi,ħoss,juum,lyd,nzu̲nt'i,صدا,dźwięk,som,sunet,звук,звук,zvuk,zvuk,zvok,sonido,ljud,เสียง,ses,звук,آواز,âm thanh,Sain
حساء,juha,супа,sopa,汤,湯,juha,polévka,suppe,soep,soup,supp,keitto,soupe,Suppe,σούπα,bouyon,מרק,सूप,kua zaub,leves,sup,zuppa,スープ,supu,chatlh,,수프,zupa,sriuba,sup,soppa,ya'ach',suppe,sopa,سوپ,Zupa,sopa,supa,суп,супа,supa,polievka,juha,sopa,soppa,ซุป,çorba,суп,سوپ,súp,cawl
جنوب,jug,Южна,Sud,南,南,Jug,jih,syd,Zuid,south,Lõuna,Etelä,Sud,Süden,Νότια,sid,דרום,दक्षिण,sab qab teb,Dél,Selatan,Sud,南,Kusini,south,,남쪽,Dienvidāfrikas,Pietų,Selatan,t'isfel,Sur,Sør,Sur,جنوبی,Południowa,Sul,Sud,Южная,југ,jug,Južná,Južna,Sur,södra,ใต้,Güney,Південь,جنوبی,Nam,De
ملعقة,žlicom,лъжица,Cullera,勺子,勺子,žlicom,lžíce,skeen,lepel,spoon,lusikas,lusikka,cuillère,Löffel,κουτάλι,kiyè,כפית,एक चम्मच,diav,kanál,sendok,cucchiaio,スプーン,kijiko,baghneQ,,숟가락,karoti,šaukštas,sudu,mgħarfa,cuchara u,skjeen,cuchara ar,قاشق,łyżka,colher,lingura,ложка,кашика,kašika,lyžica,žlico,cuchara de,sked,ช้อน,kaşık,ложка,چمچہ,muỗng,llwy
الرياضة,sportski,спорт,esport,体育,體育,sportski,sportovní,Sport,sport,sport,Sport,urheilu,sport,Sport,Αθλητισμός,pase nan betiz,ספורט,खेल,kev ua si nawv,sport,olahraga,Sport,スポーツ,Michezo,sport,,스포츠,Sports,Sportas,Sukan,Sport,deporte,sport,deporte,ورزشی,Sport,desporto,sport,Спорт,спорт,sport,Šport,šport,deporte,idrott,กีฬา,Spor,Спорт,کھیل,thể thao,chwaraeon
ربيع,proljeće,Пролет,primavera,春天,春天,proljeće,pružina,forår,lente,spring,kevadel,kevään,printemps,Frühling,άνοιξη,sous,האביב,वसंत,caij nplooj ntoos hlav,tavaszi,musim semi,primavera,春,majira ya kuchipua,wepDaj,,봄,Pavasaris,pavasarį,Spring,fir-rebbiegħa,yáax k'iino',våren,Ya nk'ants'i,بهار,wiosna,Primavera,primavara,Весна,пролеће,proleće,jar,pomlad,primavera,våren,ฤดูใบไม้ผลิ,Bahar,Весна,موسم بہار,mùa xuân,gwanwyn
ساحة,trg,площад,plaça,广场,廣場,Trg,náměstí,Square,plein,square,Square,Square,place,Platz,Πλατεία,kare,כיכר,स्क्वायर,xwmfab,Square,Square,Piazza,広場,mraba,meyrI',,광장,kvadrāts,aikštė,Square,il-kwadru,K'íiwik,Square,Ta̲i,میدان,Plac,Praça,Piaţa,Площадь,Трг,Trg,námestie,Square,Plaza,Square,สแควร์,kare,Площа,چوک,quảng trường,sgwâr
وصمة عار,mrlja,петното,taca,染色,染色,mrlja,skvrna,pletten,vlek,stain,plekk,tahra,tache,Fleck,λεκές,ach,כתם,दाग,tsuas,folt,noda,macchia,汚れ,stain,nguvmoH,,얼룩,traipu,Beicas,noda,tebgħa,ti' le mancha,flekk,ya ar mancha,لکه,Bejca,mancha,pata,пятно,мрља,mrlja,škvrna,madež,de la mancha,fläcken,สีย้อม,leke,пляма,داغ,vết,staen
حامل,postolje,Стойка,estand,立场,立場,stajati,stojan,stå,stand,stand,Stand,Stand,stand,Stand,περίπτερο,Kanpe,לעמוד,खड़े हो जाओ,sawv,állvány,berdiri,Stand,スタンド,kusimama,Qam,,서 서,statīvs,stovas,berdiri,joqgħod,Bix u le,stå,soporte ar ar,ایستاده,Stojak,carrinho,stand,стенд,стојим,stojim,stojan,stojalo,soporte de la,stå,เด่น,stand,стенд,کھڑے ہو جاؤ,đứng,stondin
نجمة,zvijezda,звезда,estrella,星级,星級,zvijezda,hvězda,Star,ster,star,Star,Star,Star,Sterne,αστέρι,zetwal,כוכב,स्टार,lub hnub qub,Star,bintang,Star,つ星,nyota,Hov,,스타,zvaigzne,žvaigždė,bintang,Stilla,Eek'e',Star,estrella,ستاره,gwiazda,estrela,Star,звезда,звезда,zvezda,hviezda,zvezda,estrella,Star,ดาว,yıldız,зірка,ستارہ,ngôi sao,seren
ستون,kamen,камък,pedra,石头,石頭,kamena,kámen,sten,steen,stone,kivi,kivi,Pierre,Stein,πέτρα,wòch,אבן,स्टोन,zeb,kő,batu,pietra,石,jiwe,nagh,,돌,akmens,akmuo,Batu,ġebel,tuunich,stein,Nunu̲,سنگ,kamień,pedra,Piatra,камень,камен,kamen,kameň,kamen,piedra,sten,หิน,taş,камінь,پتھر,đá,carreg
وقف,Prestani,Стоп,parada,停止,停止,zaustaviti,Stop,Stop,Stop,stop,Stopp,Seis,arrêter,Stop,Σταμάτα,Rete,. תפסיק,रुको,tso tseg,állj,Stop,fermata,停止,Komesha,mev,,중지,apstājieties,"sustoti, sustok",berhenti,Waqqaf,parada,stopp,parada,بایست,Przystanek,Pare,opreşte-te,остановить,Престани,Prestani,zastaviť,ustavi se,parada,Stanna,หยุด,Dur,Зупинити,روک,Dừng,stopio
مخزن,trgovina,Магазин,botiga,存储,存儲,trgovina,obchod,butik,Winkel,store,pood,Store,magasin,Speichern,κατάστημα,magazen,חנות,स्टोर,muab cia,áruház,Toko,Archivio,ストア,kuhifadhi,ngevwI',,스토어,veikals,parduotuvė,Kedai,Aħżen,koonol,Lagre,de̲nda,فروشگاه,Sklep,loja,magazin,магазин,складиште,skladište,Obchod,trgovina,tienda,Store,ร้านค้า,mağaza,магазин,ذخیرہ,cửa hàng,siop
على التوالي,ravno,направо,recta,直,直,ravno,rovný,lige,rechte,straight,sirge,suora,droites,gerade,ευθεία,tou dwat,ישר,सीधे,ncaj,egyenes,lurus,dritto,ストレート,moja kwa moja,'ach not naQ lutDaj,   ,직선,taisna,tiesios,lurus,dritta,recto,rett,recto,راست,proste,em linha reta,drepte,прямой,право,pravo,rovno,ravne,recto,rak,ตรง,düz,прямі,سیدھا,thẳng,syth
شارع,ulica,улица,carrer,街道,街道,ulica,ulice,Street,Straat,street,Street,Street,rue,Straße,Οδός,lari,רחוב,स्ट्रीट,txoj kev,utca,Street,Via,ストリート,mtaa,street,,거리,iela,gatvė,Jalan,Triq,bejo',Street,dä'ñu,خیابان,Ulica,rua,strada,Улица,улица,ulica,Ulica,ulica,calle,Street,สตรีท,sokak,Вулиця,گلی,Street,Stryd
قوية,jaka,силна,fort,强,強,jaka,silná,stærk,sterke,strong,tugev,vahva,forte,starke,ισχυρή,fòs,חזקה,मजबूत,muaj zog,erős,kuat,forte,強い,nguvu,HoS,,강력한,spēcīgs,stiprus,kuat,b ' saħħitha,k'a'am,sterk,xí nze̲di,قوی,silne,forte,puternic,сильный,јака,jaka,silné,močno,fuerte,stark,แข็งแกร่ง,güçlü,сильні,مضبوط,mạnh mẽ,cryf
طالب,Studentski,студент,estudiant,学生,學生,učenik,Student,studerende,student,student,üliõpilane,Opiskelija,Student,Student,φοιτητής,elèv,סטודנט,छात्र,me nyuam kawm ntawv,diák,mahasiswa,studente,学生,mwanafunzi,ghojwI',,학생,students,studentas,pelajar,l-istudent,máako'obo ku,student,Xa̲di,دانش آموز,Student,estudante,student,студент,студент,student,študent,študent,estudiante,student,นักเรียน,öğrenci,студент,طالب علم,sinh viên,myfyriwr
السكر,šećer,захар,sucre,糖,糖,šećer,cukr,sukker,suiker,sugar,suhkrut,sokeria,sucre,Zucker,ζάχαρη,sik,סוכר,चीनी,qab zib,cukor,gula,zucchero,砂糖,sukari,Su'ghar qutmey, ,설탕,cukurs,cukraus,gula,iz-zokkor,monkaab,sukker,t'axu̲t'afi,شکر,cukier,açúcar,zahăr,сахар,шећер,šećer,cukor,sladkor,azúcar,Sugar,น้ำตาล,şeker,Цукор,چینی,đường,siwgr
تتناسب,odijelo,костюм,vestit,西装,西裝,odijelo,oblek,passer til,Pak,suit,ülikond,puku,costume,Anzug,κοστούμι,byen tonbe,חליפה,सूट,nplua,öltöny,Perapi Celana,tuta,スーツ,suti,suit,,한 벌,uzvalks,kostiumas,sesuai dengan,libsa,Tin taasaj,Dress,Ñhe,کت و شلوار,garnitur,terno,costum,костюм,одело,odelo,oblek,obleko,traje,kostym,เหมาะสมกับ,takım elbise,костюм,کے مطابق,Bàn ủi li quần,addas ar gyfer
صيف,ljeto,лято,l'estiu,夏季,夏季,ljeto,léto,sommer,zomer,summer,suvel,kesällä,été,Sommer,καλοκαίρι,ete,הקיץ,ग्रीष्मकालीन,lub caij ntuj sov,nyári,musim panas,estate,夏,majira ya joto,poH tuj bI'reS,  ,여름,vasaras,vasaros,musim panas,tas-sajf,Verano,Sommer,ya hñethe,تابستان,Latem,Verão,vara,Лето,лето,leto,letné,poletje,verano,sommaren,ฤดูร้อน,Yaz,літо,موسم گرما,mùa hè,haf
الشمس,sunce,слънце,sol,太阳,太陽,Sunce,slunce,solen,zon,sun,päike,Sun,Dim,Sonne,Κυρ,solèy,שמש,सूर्य,tshav,nap,matahari,sole,太陽,jua,jul,,태양,saule,Saulė,matahari.,xemx,k'iino',solen,hyadi,جستجوی پیشرفته,Słońce,sol,soare,Солнце,Сунце,Sunce,slnko,sonce,sol,Sun,ดวงอาทิตย์,Güneş,НД,سورج,mặt trời,haul
الأحد,Nedjelja,Неделя,Diumenge,星期日,星期日,Nedjelja,Neděle,Søndag,Zondag,Sunday,Pühapäev,Sunnuntai,Dimanche,Sonntag,Κυριακή,dimanch,יום ראשון,रविवार,Hnub xya,Vasárnap,Minggu,Domenica,日曜日,Jumapili,jaj wa', ,일요일,Svētdiena,Sekmadienis,Hari Ahad,Il-Ħadd,Domingo,Søndag,Ndomingo,یکشنبه,Niedziela,Domingo,Duminica,Воскресенье,У недељу,U nedelju,Nedeľa,Nedelja,Domingo,Söndag,วันอาทิตย์,Pazar,Неділя,اتوار,Chủ Nhật,Dydd Sul
عرق,znoj,пот,suor,汗,汗,znoj,potu,sved,zweet,sweat,higi,hiki,sueur,Schweiß,ιδρώτα,rann swè,זיעה,पसीना,hws,izzadság,keringat,sudore,汗,jasho,sweat,,땀,sviedri,prakaitas,peluh,għaraq,le k'ilkab,svette,ar sudor,عرق,pot,suor,sudoare,пот,зној,znoj,pot,znoj,el sudor,svett,เหงื่อ,ter,Піт,پسینہ,mồ hôi,chwys
السباحة,plivati,плуване,nedar,游泳,游泳,plivati,plavání,svømme,zwemmen,swim,ujuda,uida,nager,Schwimmen,Κολυμπήστε,naje,לשחות,तैरना,da dej,úszni,berenang,nuotare,泳ぐ,kuogelea,Qal,,수영,peldēšana,plaukti,berenang,għawma,báab,svømme,nadar,شنا,pływać,nadar,înot,плавать,пливање,plivanje,plávať,plavati,nadar,simma,ว่ายน้ำ,yüzmek,плавати,تیرنا,bơi lội,nofio
تي شيرت,Majica,Тениска,Samarreta,T 恤,T 恤,Majica,Tričko,T-shirt,T-shirt,T-shirt,T-särk,T-paita,T-Shirt,-T-Shirt,Μπλουζάκι,Mayo,חולצה,टी शर्ट,T-shirt,Póló,T-shirt,T-shirt,T シャツ,T-shirt,yIvbeH SeQHa', ,T-셔츠,T-krekls,Marškinėliai,Kemeja-t,T-shirt,T'aano'-shirt,T-skjorte,T — shirt,تی شرت,Koszulka,T-shirt,Tricou,Футболка,Мајица,Majica,Tričko,T-shirt,T-shirt,T-shirt,เสื้อยืด,T-shirt,T-Shirt,شرٹ,T-shirt,Crys-t
الجدول,tablica,таблица,taula,表,表,Tablica,tabulka,tabel,tabel,table,Tabel,taulukko,Tableau,Tabelle,Πίνακας,tab,טבלה,तालिका,cov lus,táblázat,Meja,tabella,テーブル,Jedwali,raS,,테이블,tabula,lentelė,Jadual,it-tabella,tabla,tabell,tabla,جدول,stół,tabela,tabel,Таблица,Табела,Tabela,Tabuľka,Tabela,tabla,tabell,ตาราง,Tablo,Таблиця,جدول,Bàn,Tabl
طويل القامة,visok,висок,d'alçada,高,高,visok,vysoký,høj,hoog,tall,pikk,pitkä,Tall,groß,ψηλός,ran ras/tèm,גבוה,लंबा,siab,magas,tinggi,alto,背の高い,mrefu,tall,,키가,garš,aukštas,tinggi,jdawwal,ka'anal,høy,hñets'i,بلند,wysoki,alto,inaltime,Талль,висок,visok,vysoký,visok,alto,tall,สูง,uzun boylu,Талль,لمبا,cao,Tal
طويل القامة,visok,висок,d'alçada,高,高,visok,vysoký,høj,hoog,tall,pikk,pitkä,Tall,groß,ψηλός,ran ras/tèm,גבוה,लंबा,siab,magas,tinggi,alto,背の高い,mrefu,tall,,키가,garš,aukštas,tinggi,jdawwal,ka'anal,høy,hñets'i,بلند,wysoki,alto,inaltime,Талль,висок,visok,vysoký,visok,alto,tall,สูง,uzun boylu,Талль,لمبا,cao,Tal
طعم,okus,вкус,gust,味道,味道,okus,chuť,smag,smaak,taste,maitse,maku,goût,Geschmack,γεύση,goute (v),טעם,स्वाद,saj,ízlés szerint,rasa,gusto,味,ladha,mum,,맛,garša,skonis,rasa,it-togħma,sabor,smak,sabor,طعم,smak,gosto,gustul,вкус,укус,ukus,chuť,okus,sabor,smak,รสชาติ,tat,смак,ذائقہ,hương vị,Flas
الشاي,čaj,чай,te,茶,茶,čaj,čaj,te,thee,tea,tee,tee,thé,Tee,τσάι,esèpsyon,תה,चाय,tshuaj yej,tea,teh,tè,紅茶,chai,Dargh,,차,tēja,arbata,teh,it-te,té,te,té,چای,herbata,chá,ceai,чай,чај,čaj,čaj,čaj,té,te,ชา,çay,чай,چائے,trà,te
تعليم,naučiti,научи,ensenyar,教,教,naučiti,učit,undervise,leren,teach,õpetada,opettaa,enseigner,Lehren,να διδάξει,bay entriksyon,ללמד,सिखाने,qhuab qhia,tanítani,mengajar,insegnare,教える,kufundisha,ghojmoH,,가르쳐,mācīt,mokyti,mengajar,jgħallmu,ka'ansik,lære,ma̲xkigi ga uti,آموزش,uczyć,ensinar,preda,учить,Предајем,Predajem,učiť,poučevanje,enseñar,lära,สอน,öğretmek,навчити,سکھانا,giảng dạy,addysgu
